ticker,snapshot_date,articles,scored_articles,pos_hits,neg_hits,sentiment,thin,top_positive,top_negative,eightk_30d,eightk_90d,eightk_365d,days_since_8k,pulled_at
COYA,2026-09-21,14,1,1,0,1.0,True,Coya Therapeutics (COYA) Rises Modestly as Shares Hold Above $4.41 Support - Momentum Surge Alerts - dars.gov.et,,1,4,14,6,2026-09-21 23:52:53.460455
CRBP,2026-09-21,2,1,0,1,-1.0,True,,Corbus CRB-913 Delivers 5% Weight Loss in Phase 1b Obesity Study,1,3,19,7,2026-09-21 23:52:53.972294
CRDF,2026-09-21,20,5,4,1,0.377,False,Cardiff Oncology Shares Rise After Upgrade From HC Wainwright - Moomoo,"Cardiff Oncology, Inc.(NasdaqCM: CRDF) dropped from S&P Global BMI Index - marketscreener.com",1,3,14,7,2026-09-21 23:52:54.708965
CRDL,2026-09-21,23,6,1,5,-0.649,False,,Cardiol Therapeutics Inc. Class A (TSX:CRDL) Declines 6.86% as Selling Pressure Builds - kalkine.ca,0,0,0,,2026-09-21 23:52:55.274814
CSLLY,2026-09-21,3,1,0,1,-1.0,True,,Montco’s CSL Enters White House Pricing Framework Amid Layoffs at Home - MONTCO.Today,0,0,0,,2026-09-21 23:52:55.939511
CYTK,2026-09-21,39,5,5,0,1.0,False,Cytokinetics Announces Inducement Grants Under Nasdaq Listing Rule 5635(c)(4) - GlobeNewswire,,1,3,14,24,2026-09-21 23:52:56.554321
DBVT,2026-09-21,17,4,1,3,-0.301,False,,DBVT Slides As DBV Technologies Leads European Biotech Declines - timothysykes.com,0,2,12,67,2026-09-21 23:52:57.026186
DFNS,2026-09-21,1,0,0,0,0.0,True,,,3,11,47,10,2026-09-21 23:52:57.465877
DFTX,2026-09-21,8,4,4,0,1.0,False,Definium Reports Second Phase III Success in Anxiety Disorder Program,,2,5,17,7,2026-09-21 23:52:58.024718
DMAC,2026-09-21,6,2,1,1,0.147,True,Wall Street Analysts Think DiaMedica Therapeutics (DMAC) Could Surge 129.97%: Read This Before Placing a Bet - Eastern Progress,(DMAC) Risk Channels and Responsive Allocation - Stock Traders Daily,0,1,7,42,2026-09-21 23:52:58.534821
DNLI,2026-09-21,11,1,1,0,1.0,True,"DNLI: AVLAYAH's launch validates a brain-targeted biologics platform, driving pipeline and global expansion - TradingView",,0,2,16,46,2026-09-21 23:52:59.113089
DSGN,2026-09-21,2,0,0,0,0.0,True,,,0,1,8,49,2026-09-21 23:52:59.572659
DWTX,2026-09-21,5,0,0,0,0.0,True,,,0,1,13,39,2026-09-21 23:53:00.089880
EIKN,2026-09-21,12,4,4,0,1.0,False,"Mizuho Upgrades Eikon Therapeutics (NASDAQ:EIKN) to ""Strong-Buy"" - marketbeat.com",,0,3,8,38,2026-09-21 23:53:00.624166
ELDN,2026-09-21,6,0,0,0,0.0,True,,,0,1,8,39,2026-09-21 16:44:20.301314
ENLV,2026-09-21,2,1,0,1,-1.0,True,,Enlivex Therapeutics stock gains on upcoming Q1 2026 earnings and steep year-to-date decline - AD HOC NEWS,0,0,0,,2026-09-21 16:44:20.826366
ESLA,2026-09-21,0,0,0,0,0.0,True,,,1,3,9,13,2026-09-21 23:53:01.001819
EWTX,2026-09-21,8,1,1,0,1.0,True,Edgewise Therapeutics Reports Inducement Grants as permitted by the Nasdaq Listing Rules - PR Newswire,,0,3,10,46,2026-09-21 23:53:01.673868
FDMT,2026-09-21,15,3,3,0,1.0,True,4D Molecular Therapeutics Grants RSUs to Seven New Non-Executive Employees - Quiver Quantitative,,0,3,16,39,2026-09-21 23:53:02.222323
GEHC,2026-09-21,49,6,2,4,-0.208,False,GEHC Q2 2026 Earnings: EPS Beat of 7.03% as GE HealthCare Tops Consensus - CEO Earnings Statement - careplusvn.com,Securities Fraud Investigation Into GE HealthCare - GlobeNewswire,0,4,12,34,2026-09-21 16:44:23.475158
GILD,2026-09-21,53,11,6,5,0.085,False,Gilead Sciences Just Won Its Third FDA Approval in Less Than 4 Months. Is the Stock Still Underrating This Turnaround Play? - Yahoo Finance,THNR's Weight-Loss Index Swaps Hims & Hers for Gilead - ETF Database,0,1,10,48,2026-09-21 23:53:02.874492
GKOS,2026-09-21,14,1,1,0,1.0,True,Glaukos Corporation (GKOS) Investor Outlook: A Promising 17.88% Upside Potential in the Medical Device Sector - DirectorsTalk Interviews,,0,2,10,49,2026-09-21 23:53:03.354375
GMAB,2026-09-21,22,2,2,0,1.0,True,Genmab A/S (GMAB) Stock Analysis: Strong Buy Ratings and 12.66% Potential Upside Drive Investor Interest - DirectorsTalk Interviews,,0,0,0,,2026-09-21 23:53:03.977237
GNLX,2026-09-21,7,1,0,1,-1.0,True,,GNLX Q2 2026 Earnings: Wider-than-Expected Loss Reflects Continued Clinical Investment - Next Quarter Guidance - careplusvn.com,0,0,6,91,2026-09-21 23:53:04.557503
GOVX,2026-09-21,6,0,0,0,0.0,True,,,3,5,17,11,2026-09-21 23:53:05.033275
HAFC,2026-09-21,1,0,0,0,0.0,True,,,0,6,18,35,2026-09-21 23:53:05.585048
HRMY,2026-09-21,18,0,0,0,0.0,True,,,0,2,11,48,2026-09-21 23:53:06.143788
IBO,2026-09-21,2,1,1,0,1.0,True,IMPACT Therapeutics Wins EMA Panel Backing for Ovarian Cancer Drug Senaparib - TipRanks,,2,2,5,4,2026-09-21 23:53:06.760253
IBRX,2026-09-21,19,3,0,3,-1.0,True,,"Bronstein, Gewirtz & Grossman, LLC Announces an Investigation Against ImmunityBio, Inc. (IBRX) and Encourages Shareholders to Learn More About the Investigation - ACCESS Newswire",0,2,17,48,2026-09-21 23:53:07.550111
IDYA,2026-09-21,20,6,5,1,-0.211,False,"IDEAYA Biosciences Announces Successful FDA Type C Meeting for IDE849, DLL3 TOP1 ADC, on Phase 3 Registrational Trial Design for Potential Accelerated and Full Approval in Extensive Stage Small Cell Lung Cancer - PR News",How (IDYA) Movements Inform Risk Allocation Models - Stock Traders Daily,0,2,16,48,2026-09-21 23:53:08.017569
IMCR,2026-09-21,0,0,0,0,0.0,True,,,1,2,9,7,2026-09-21 23:53:08.479268
IMUX,2026-09-21,2,0,0,0,0.0,True,,,2,6,22,10,2026-09-21 23:53:09.001955
INCY,2026-09-21,22,3,3,0,1.0,True,Incyte Corporation (INCY) Stock Analysis: Navigating Biotech Growth with a 37.7% Revenue Surge - DirectorsTalk Interviews,,1,3,14,21,2026-09-21 23:53:09.579141
INO,2026-09-21,11,2,1,1,0.496,True,Inovio Pharmaceuticals Inc. stock outperforms competitors on strong trading day - MarketWatch,"INO Stockholders Have Opportunity to Lead Inovio Pharmaceuticals, Inc. Class Action Lawsuit – Contact Bronstein, Gewirtz and Grossman, LLC Today! - ACCESS Newswire",0,3,12,40,2026-09-21 23:53:10.068330
INSM,2026-09-21,25,14,12,2,0.881,False,"FDA Grants Priority Review to Insmed's sNDA for ARIKAYCE® (amikacin liposome inhalation suspension) for Treatment of MAC Lung Disease With PDUFA Target Action Date Set for January 28, 2027 - PR Newswire",Exiting Insmed (INSM) Following Disappointing Key Drug Uptake - Yahoo Finance,0,2,11,46,2026-09-21 23:53:10.666645
IONS,2026-09-21,33,14,8,6,-0.359,False,Ionis Drug Wins FDA Approval as First Alexander Disease Treatment - Yahoo Finance,Ionis Pharmaceuticals Eyes TRYNGOLZA Growth as Pipeline Faces Cardio Setbacks - Yahoo Finance,2,6,20,17,2026-09-21 23:53:11.203486
IRD,2026-09-21,29,10,8,2,0.618,False,Opus Genetics Announces Positive Low Dose Cohort 1 Data from Phase 1/2 Clinical Trial of OPGx-BEST1 and Successful FDA Type C Meeting with Potential Phase 3 Dosing in 2027 - Yahoo Finance,Opus Genetics (IRD) Declines 4.5% to $4.46 as Shares Approach Key Support - Insider Sentiment - careplusvn.com,2,3,19,10,2026-09-21 23:53:11.675524
IRON,2026-09-21,42,8,6,2,0.169,False,Disc Medicine Reports Positive Initial RESTORE-PV Results for DISC-3405 in Polycythemia Vera - Quiver Quantitative,"Rosen Law Firm Encourages Disc Medicine, Inc. Investors to Inquire About Securities Class Action Investigation - IRON - PR Newswire",1,4,16,11,2026-09-21 23:53:12.281810
JAZZ,2026-09-21,48,10,10,0,1.0,False,Jazz Pharmaceuticals debt upgraded by S&P on stronger recovery - Investing.com,,3,7,15,6,2026-09-21 23:53:12.805228
KARD,2026-09-21,3,0,0,0,0.0,True,,,0,2,2,41,2026-09-21 23:53:13.199468
KPRX,2026-09-21,6,0,0,0,0.0,True,,,1,3,10,13,2026-09-21 23:53:13.732270
KPTI,2026-09-21,11,8,8,0,1.0,False,Karyopharm Therapeutics submits sNDA seeking accelerated approval for selinexor plus ruxolitinib in myelofibrosis - TradingView,,3,6,17,3,2026-09-21 23:53:14.325520
KRYS,2026-09-21,30,10,10,0,1.0,False,"Rossi Dino A Granted 1,658 Derivative Securities of Krystal Biotech, Inc. on September 14, 2026 - Kalkine Media",,0,2,10,49,2026-09-21 23:53:14.831099
LABT,2026-09-21,1,0,0,0,0.0,True,,,0,1,3,68,2026-09-21 23:53:15.281850
LLY,2026-09-21,52,13,9,4,0.32,False,Lilly CEO Dave Ricks says Foundayo winning new pill patients - Yahoo Finance,Novo says CagriSema shows greater weight loss than Lilly rival in diabetes patients - Reuters,0,1,7,47,2026-09-21 23:53:15.983890
LRMR,2026-09-21,3,1,1,0,1.0,True,Why Did Larimar Therapeutics’ Stock Surge Over 30% Pre-Market Today? - Stocktwits,,0,2,15,48,2026-09-21 23:53:16.454481
LTRN,2026-09-21,7,0,0,0,0.0,True,,,0,2,10,38,2026-09-21 23:53:16.954198
LUMN,2026-09-21,3,0,0,0,0.0,True,,,0,1,31,48,2026-09-21 23:53:17.427616
MANE,2026-09-21,8,2,1,1,-0.333,True,Veradermics (MANE) Stock Looks Overvalued After Its 161% Rally,Veradermics at citigroup summit: oral hair-loss drug nears key data - Investing.com Nigeria,0,2,8,41,2026-09-21 23:53:18.028146
MAZE,2026-09-21,34,1,0,1,-1.0,True,,"Maze Therapeutics (MAZE) Slides On Weak Momentum, Is The Current Valuation About Right? - simplywall.st",0,2,10,35,2026-09-21 23:53:18.556191
MDGL,2026-09-21,16,3,3,0,1.0,True,Madrigal Pharmaceuticals Announces Grants of Inducement Awards under Nasdaq Listing Rule 5635(c)(4) - GlobeNewswire,,0,2,9,40,2026-09-21 23:53:19.159734
MDWD,2026-09-21,4,0,0,0,0.0,True,,,0,0,0,,2026-09-21 16:44:41.321524
MIRM,2026-09-21,26,4,3,1,0.524,False,Mirum Pharmaceuticals: Oversold And Set To Rally On Critical Pipeline-Related Events - Seeking Alpha,Precision Trading with Mirum Pharmaceuticals Inc. (MIRM) Risk Zones - Stock Traders Daily,1,2,16,13,2026-09-21 23:53:19.662594
MLTX,2026-09-21,1,0,0,0,0.0,True,,,0,3,12,42,2026-09-21 23:53:20.061948
MNKD,2026-09-21,9,4,0,4,-1.0,False,,MannKind (MNKD) Bets On Inhaled Weight Loss Amid Widening Losses,0,3,12,31,2026-09-21 23:53:20.641324
MRK,2026-09-21,3,2,2,0,1.0,True,Moderna Surges 9% as Phase 3 Melanoma Data Wins Presidential Symposium Slot; Merck and BioNTech Edge Higher,,0,1,7,48,2026-09-21 23:53:21.260619
NAMS,2026-09-21,32,13,9,4,0.69,False,NewAmsterdam Pharma wins EU approval for obicetrapib as Ubeslo and Evlarco - TradingView,Stifel reiterates Buy on NewAmsterdam Pharma stock after trial failure By Investing.com - Investing.com Australia,1,6,13,0,2026-09-21 23:53:21.763710
NBIX,2026-09-21,36,6,6,0,1.0,False,"Neurocrine Biosciences, Inc. (NBIX) Stock Analysis: Exploring a Promising 43% Potential Upside - DirectorsTalk Interviews",,0,2,9,52,2026-09-21 16:44:44.979299
NPCE,2026-09-21,29,4,3,1,0.706,False,"NeuroPace (NASDAQ:NPCE) Upgraded to ""Strong-Buy"" at KeyCorp - marketbeat.com",Precision Trading with Neuropace Inc. (NPCE) Risk Zones - Stock Traders Daily,0,2,6,41,2026-09-21 23:53:22.264781
NTHI,2026-09-21,3,4,1,3,-0.356,False,"NeOnc Executives Invest Approximately $629,000 in Open-Market Stock Purchases Following Positive NEO100 Phase 2a Results","NeOnc Technologies Holdings, Inc. Announces Pricing of $15 Million Registered Direct Offering Priced At-The-Market Under Nasdaq Rules with New and Existing Institutional Investors",3,11,34,0,2026-09-21 23:53:22.706805
